0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Net Points Per Drive,Net Points Per Drive,Net Points Per Drive,Net Points Per Drive,Net Points Per Drive,,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive
Rk,Team,Rec,FBS,NPD,,OPD,Rk,OLD,Rk,OMD,Rk,OSD,Rk,,DPD,Rk,DLD,Rk,DMD,Rk,DSD,Rk
39,Kansas State,9-4,8-4,.46,,2.55,41,2.73,8,2.38,43,3.31,79,,2.09,51,.44,4,1.67,27,4.68,122
40,South Alabama,7-6,6-6,.46,,2.67,27,1.55,67,2.76,18,3.65,59,,2.21,66,1.50,59,2.33,85,2.81,29
41,Connecticut,9-4,8-4,.45,,2.17,76,1.41,76,1.76,98,3.76,46,,1.72,24,1.36,48,1.67,26,2.35,10
42,Texas A&M,8-5,7-5,.44,,2.35,51,1.95,40,2.39,42,2.57,116,,1.90,36,1.86,83,1.80,38,2.42,16
43,Virginia Tech,6-7,6-7,.44,,2.26,63,1.64,61,2.12,69,3.37,75,,1.83,30,1.26,40,1.56,19,3.42,65
44,Syracuse,10-3,9-3,.40,,2.99,13,2.28,24,2.98,7,3.88,41,,2.59,98,1.70,69,2.59,105,3.86,91
45,Nebraska,7-6,6-6,.40,,2.11,82,.57,128,2.28,52,3.60,64,,1.71,23,1.92,90,1.47,14,2.16,6
,,,,,,,,,,,,,,,,,,,,,,
Rk,Team,Rec,FBS,NPD,,OPD,Rk,OLD,Rk,OMD,Rk,OSD,Rk,,DPD,Rk,DLD,Rk,DMD,Rk,DSD,Rk
46,Illinois,10-3,9-3,.39,,2.61,34,1.08,101,2.48,35,4.15,31,,2.22,67,1.52,63,2.18,73,3.28,55
47,Bowling Green,7-6,6-6,.37,,2.32,53,2.00,36,2.08,71,3.40,74,,1.95,40,1.52,61,1.97,53,2.35,10
48,Washington State,8-5,7-5,.33,,2.89,18,2.19,28,2.95,8,3.18,87,,2.56,95,1.94,91,2.50,100,3.44,68
49,LSU,9-4,8-4,.32,,2.60,35,2.34,23,2.37,44,3.84,42,,2.28,74,1.21,38,2.20,74,3.59,78
50,Northern Illinois,8-5,7-5,.30,,1.83,105,1.42,74,1.49,115,3.67,55,,1.53,7,1.00,25,1.42,11,2.39,14
51,Liberty,8-4,7-4,.28,,2.37,49,3.81,2,1.63,106,3.17,88,,2.09,52,.88,20,2.08,63,3.05,40
52,Sam Houston,10-3,10-3,.25,,1.89,100,1.39,78,1.88,88,2.45,123,,1.64,13,.48,7,1.65,25,3.09,44
53,Toledo,8-5,7-5,.20,,1.89,99,1.27,89,1.89,87,2.59,115,,1.69,22,1.09,32,1.49,16,3.20,49
54,Fresno State,6-7,5-7,.19,,2.20,72,2.00,36,1.80,96,3.19,86,,2.01,44,1.00,25,1.99,54,3.72,86
55,Michigan,8-5,8-5,.17,,2.01,93,.76,119,1.71,103,4.22,28,,1.83,31,1.08,31,1.58,22,3.50,70
56,Arkansas,7-6,6-6,.16,,2.32,54,1.93,43,2.34,45,3.08,93,,2.16,61,1.29,43,1.99,56,3.52,72
57,Florida,8-5,7-5,.15,,2.18,74,2.04,33,1.60,108,4.00,35,,2.02,46,2.52,117,1.33,5,3.95,99
58,Boston College,7-6,6-6,.15,,2.26,62,.95,107,2.03,73,3.93,38,,2.11,53,1.84,81,1.67,28,3.88,93
59,Kansas,5-7,4-7,.15,,2.78,22,2.69,11,2.64,26,3.75,47,,2.64,103,2.58,119,2.60,106,2.83,31
60,Rutgers,7-6,6-6,.11,,2.53,45,1.81,47,2.56,30,3.00,94,,2.43,86,2.00,95,2.36,88,3.75,88
,,,,,,,,,,,,,,,,,,,,,,
Rk,Team,Rec,FBS,NPD,,OPD,Rk,OLD,Rk,OMD,Rk,OSD,Rk,,DPD,Rk,DLD,Rk,DMD,Rk,DSD,Rk
61,Western Kentucky,8-6,7-6,.10,,2.28,59,1.79,48,2.17,60,3.26,81,,2.17,62,1.94,93,1.70,29,4.04,106
62,Buffalo,9-4,8-4,.10,,2.24,66,2.21,26,2.01,77,2.87,101,,2.13,56,1.41,52,2.03,60,3.60,79
63,Texas Tech,8-5,7-5,.10,,2.57,38,2.04,34,2.16,62,4.06,34,,2.46,88,1.44,55,2.22,76,4.03,104
64,Old Dominion,5-7,5-7,.07,,2.25,65,1.78,49,2.18,59,3.09,90,,2.18,64,.92,21,1.95,50,3.87,92
65,Florida International,4-8,4-7,.06,,2.09,86,.95,107,2.27,55,2.57,117,,2.03,47,1.64,65,1.71,32,3.18,48
66,California,6-7,5-7,.04,,2.01,94,2.64,13,1.54,113,3.22,85,,1.96,41,1.39,50,1.92,49,2.76,25
67,Louisiana Tech,5-8,4-8,.04,,1.79,108,1.22,93,1.86,89,1.92,132,,1.75,25,1.74,73,1.63,23,2.41,15
68,San Jose State,7-6,6-6,.04,,2.18,73,1.93,44,2.00,78,3.47,69,,2.14,58,1.50,59,2.09,65,2.86,33
69,Duke,9-4,8-4,.02,,1.79,109,1.50,68,1.40,120,3.23,83,,1.76,27,.59,12,1.81,40,3.62,81
70,Cincinnati,5-7,4-7,.01,,2.28,60,1.60,63,2.01,74,4.38,17,,2.27,70,1.95,94,1.97,52,4.00,100
71,UTSA,7-6,6-6,-.02,,2.26,64,1.45,73,2.08,72,3.44,70,,2.28,75,1.90,84,2.13,70,3.06,41
72,East Carolina,8-5,7-5,-.03,,2.30,55,.87,115,2.27,54,3.27,80,,2.33,77,.46,6,2.66,110,3.33,58
73,Georgia Tech,7-6,6-6,-.03,,2.33,52,1.26,91,2.48,34,4.38,17,,2.36,79,1.81,77,2.29,82,3.64,82
74,North Texas,6-7,5-7,-.04,,2.62,31,1.71,56,2.46,36,4.43,16,,2.67,108,2.38,113,2.35,87,3.90,95
75,South Florida,7-6,6-6,-.06,,2.12,81,1.14,97,1.59,109,5.04,4,,2.18,63,1.91,85,2.28,81,2.18,7
,,,,,,,,,,,,,,,,,,,,,,
Rk,Team,Rec,FBS,NPD,,OPD,Rk,OLD,Rk,OMD,Rk,OSD,Rk,,DPD,Rk,DLD,Rk,DMD,Rk,DSD,Rk
76,Oklahoma,6-7,5-7,-.09,,1.52,122,.93,110,1.36,121,2.75,106,,1.61,11,1.30,44,1.34,6,2.71,24
77,Pittsburgh,7-6,6-6,-.12,,2.04,91,1.26,90,1.99,80,3.70,51,,2.16,59,1.75,74,2.06,62,2.84,32
78,Colorado State,8-5,7-5,-.12,,1.94,98,1.27,86,1.74,100,3.54,66,,2.06,48,1.73,72,1.76,34,3.36,61
79,Wisconsin,5-7,4-7,-.14,,1.99,96,1.73,50,1.72,101,4.08,33,,2.13,54,2.11,101,1.83,44,3.20,49
80,Auburn,5-7,4-7,-.14,,1.84,104,.90,113,1.95,84,3.00,94,,1.97,42,1.11,33,2.10,68,2.28,9
81,Vanderbilt,7-6,6-6,-.16,,2.37,50,2.35,22,1.77,97,4.83,7,,2.52,91,2.28,109,2.53,102,3.00,37
82,Georgia Southern,8-5,7-5,-.16,,2.28,58,2.17,29,2.01,76,3.43,71,,2.44,87,1.64,66,2.46,96,3.29,57
83,Washington,6-7,5-7,-.17,,2.16,79,1.60,63,1.71,104,4.88,6,,2.32,76,2.10,100,2.04,61,3.39,63
84,UCF,4-8,3-8,-.17,,2.38,48,2.38,21,2.21,57,3.50,67,,2.55,93,.72,15,2.68,113,4.00,100
85,Utah,5-7,4-7,-.17,,1.50,123,.88,114,1.18,125,2.96,98,,1.67,19,1.49,58,1.49,15,2.62,22
86,North Carolina,6-7,5-7,-.17,,2.10,85,1.08,100,2.28,51,2.55,122,,2.27,72,1.67,67,1.97,51,4.10,107
87,New Mexico,5-7,5-6,-.22,,3.06,10,2.73,8,2.81,16,4.81,8,,3.28,127,2.74,122,2.84,119,5.23,129
88,Eastern Michigan,5-7,4-7,-.23,,2.10,84,1.71,55,1.81,93,3.64,61,,2.33,78,1.81,77,2.14,72,3.74,87
89,NC State,6-7,5-7,-.30,,2.23,67,.50,130,2.12,66,4.80,9,,2.53,92,1.83,80,2.43,93,3.35,60
90,Coastal Carolina,6-7,5-7,-.38,,2.27,61,1.59,65,1.97,82,4.32,19,,2.66,106,2.46,116,2.41,91,3.52,71
,,,,,,,,,,,,,,,,,,,,,,
Rk,Team,Rec,FBS,NPD,,OPD,Rk,OLD,Rk,OMD,Rk,OSD,Rk,,DPD,Rk,DLD,Rk,DMD,Rk,DSD,Rk
91,Western Michigan,6-7,5-7,-.40,,2.39,47,2.53,16,1.80,94,4.29,21,,2.79,110,2.00,95,2.74,117,4.63,119
92,Wake Forest,4-8,3-8,-.59,,2.08,88,1.13,98,2.12,68,2.64,112,,2.67,107,1.62,64,2.20,75,6.06,134
93,West Virginia,6-7,5-7,-.61,,2.54,43,1.94,41,2.45,37,3.63,62,,3.15,123,1.91,86,3.04,126,5.60,132
